Name,Bio,Pic,Title,Abstract,Checked?
"Andrea Magnorsky, Claudia Doppiolash","Claudia Doppioslash, GameDev and functional programmer. Andrea Magnorsky, programmer, interested in the past and the future of PLs",../img/speakers/claudia_andrea.png, Learn to make games with Elm and cats,"Come to this cat-stastic workshop where you will learn a bit about Elm and a bit about making games, in the process make a game about cats.
Elm is a new FRP based language that compiles to JS/Html/CSS ideally suited for games and UI. Some useful features of Elm are a Time Travelling debugger, immutability, Union Types, type inference and of course FRP. ",OK
Igor Wiedler,Programmer?,https://pbs.twimg.com/profile_images/591017166989852672/ZybICrAv.jpg,GIF: the image format that keeps giving,"Cats. On the internet. They may move you to tears of joy, but we want them to move. Luckily there is a technology for that. The Graphics Interchange Format that brought us the cutest moving cats on the internet almost 30 years ago, before the web even existed, will require closer examination.

Compression! Patents! Legal battles! Companies buying other companies! Boycots and antique browsers! Colour palettes and binary numbers! These are the wonderful things that will explore in this amazing talk! I will talk at you! And you will listen, or not, it's up to you.",
Sonja Heinen,"Sonja is a semi-nomadic visual designer interested in the space where technology, art and society collide. In October 2014 she earned a Master's in Sustainable Design from Kingston University in London, then relocated to Chunky Bac... Berlin. She currently works as a prototype developer for Siili.",https://pbs.twimg.com/profile_images/541377898695753729/A9Sj_Mxb.jpeg,Hobby-oriented programming,"A hobby can be defined as any regular activity, that someone engages in for enjoyment. Activities range from artistic crafts, playing an instrument, making homemade food and drink to collecting strange items ...or experimenting with code. 
With continuous practice the hobbyist will acquire significant skill and knowledge in a particular field, which allows him or her to apply it in a serious manner, e.g. the Linux kernel started as a student's hobby.

Hobby-oriented programming not only defines developer types (amateur and professional), but furthermore explores the correlation between a programmer's happiness and leisure time activities.",OK
Roy van Rijn,"Roy van Rijn is a Software Craftsman at JPoint. He worked on miscellaneous projects and has given talks at Devoxx BE, Devoxx UK, Devoxx PL, Joy of Coding, J-Fall and J-Spring. He regularly gives trainings on various topics, including Spring, Software Architecture, Testing and Agile/Lean. He's also a blogger (http://www.royvanrijn.com) and you can follow him on Twitter (@royvanrijn).",../img/speakers/roy-van-rijn.jpeg,How Google conquered the game of Go,Google's AlphaGo is an extraordinary breakthrough for Artificial Intelligence. The game of 19x19 Go has 1.74x10^172 unique positions and is about a 'googol' times harder to calculate than chess. Experts thought is would take at least another decade before AI would be able to beat the best human players. So how did Google tackle this problem? What algorithms did they use and how do they work? That is what I'll be explaining in this session.,
Jack Franklin,"Jack is a Developer Evangelist at Pusher, based in London. He spends most of his time writing and talking about JavaScript and front end web development. He's the author of ""Beginning jQuery"" (Apress, 2013) and is currently focusing on ECMAScript 6, React and the state of tooling for web developers. If not at a computer he's usually found playing football or sat in the pub talking about code.",https://pusher.com/assets/pages/team/pusherinos/jack-ed0c2093a3413e41106346f9150dd487d1ea44d190e16c65a76da0530f0a2032.jpg,Seamless client side applications with jspm,"ES2015 introduces mainly new features to JavaScript but the friction to getting set up to write ES2015 is currently still high - setting up your choice of transpiler, build tool and the rest of it is always time consuming and frustrating. In this talk I want to show you how JSPM (<a href=""http://jspm.io/"">jspm.io</a>) changes that. It's a single tool that takes care of managing your set up, installing every third party dependency you need and even bundling your application to production. I'll show you how to set up a seamless development workflow with JSPM and how to use it to generate production bundles too.
",
Egbert Teeselink,"Egbert is a full-stack developer, enterpreneur and allround disco lover. He prefers to think before he codes, but not too long. Egbert is a large fan of fancy new programming tools such as Elixir, C#, PostgreSQL and Turbo Pascal. He likes hamburgers but not hamburger menus. He's one of the founders of Klets, a web tech startup from Eindhoven",https://pbs.twimg.com/profile_images/631145190674288640/Qj3hj3m8.jpg,Super-elegant realtime backends with Elixir,"Elixir is a new programming language that runs on the Erlang VM. Elixir allows you to easily write software that is very robust and sports extremely high concurrency. This makes a certain class of application backends significantly simpler and faster to write, which we'll give you a live taste of during this workshop.

After a tiny, tiny taste of Elixir, we'll dive in headfirst and make a simple distributed messaging app. You'll experience first hand how easy Elixir makes it to manage parallel behavior, and how its let-it-crash approach to robustness leads to ",
Peter Hilton,"Peter Hilton is a software developer, writer, speaker, trainer, and musician. Peter's professional interests are business process management, web application development, functional design, agile software development and project management. He currently works as a programmer and technical writer on a workflow management product team, and also delivers the occasional lecture and training course. Peter's software development interests include web application frameworks, software development methodology and practices, and web-based collaboration. Peter's speciality is web application architecture, design and build. Peter has presented at several European developer conferences, including ACCU, Scala eXchange, Devoxx, Øredev, Jfokus, Javazone and geecon. Peter co-authored 'Play for Scala' (Manning Publications) and is a Typesafe certified trainer for 'Fast Track to Play with Scala'.",http://hilton.org.uk/picture/face/hilton-peter.jpg,Documentation avoidance for developers - How to get away with less documentation and spend more time writing code,"However good your code, other people never seem to get it. Instead they ruin your day (and your productivity) by asking questions and expecting documentation. You need to know how to explain code without getting stuck in meetings or spending half your time on the only thing you hate more than meetings: writing documentation. Instead, you aim for constructive laziness: tactics that give you more time to write code.

This talk teaches you how to avoid writing documentation, by making it unnecessary or delegating the work to someone else. You will also learn how to deal with the awkward situation when you can’t away with avoidance or delegation, and have to write the documentation yourself.

This talk explores what we talk about when we talk about code, how we do it, and the tools we use. You can often find a better tool than documentation, but not always. Not everyone writes detailed specifications these days, but remote working and distributed teams make written explanations more valuable than ever. Talking face to face requires less effort, but you rarely or never meet the authors of most of the code you see. Software craftsmanship has failed to make written documentation unnecessary. Instead we shall turn to README-Driven Development, comments evasion, documentation-avoidance, just-in-time documentation and the art of not writing it in the first place.",OK
Daan van Berkel,Daan van Berkel is a enthusiastic software craftsman with a knack for presenting technical details in a clear and concise manner. Driven by the desire for understanding complex matters Daan is always on the lookout for innovative uses of software ,../img/speakers/daan-van-berkel.jpeg,Solving Permutation Puzzles with the aid of a computer,"Puzzles are great! But sometimes they get the better of us. Instead of yielding a solution they resist our best analysis. No longer!

In this workshop you will be able to program your computer to aid you in solving permutation puzzles like Rubik's cube, Megaminx or the Brainbow. Even if you never have solved a cube before you should come. We will teach you the tricks of the trade, teach the computer how to aid you and teach the two of you how to solve any permutation puzzle.",OK
,,,,,
Moeten we nog info verzamelen voor de pre-party?,,,,,
Zo ja dan:,,,,,
